Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn)
Bergen - Florida;SN50540;30.12.2021;7,7;7,7;9,3
Bergen - Florida;SN50540;31.12.2021;7;29,2;5,6
Bergen - Florida;SN50540;01.01.2022;5,6;9,8;12,5
Bergen - Florida;SN50540;02.01.2022;8,1;9,1;10,5
Bergen - Florida;SN50540;03.01.2022;4,5;5,5;9,9
Bergen - Florida;SN50540;04.01.2022;3;15,9;7,8
Bergen - Florida;SN50540;05.01.2022;2;18,3;8,7
Bergen - Florida;SN50540;06.01.2022;0,3;0;6,2
Bergen - Florida;SN50540;07.01.2022;4,5;0,2;10,5
Bergen - Florida;SN50540;08.01.2022;3,1;0,3;6,9
Bergen - Florida;SN50540;09.01.2022;2,9;0,9;7,6
Bergen - Florida;SN50540;10.01.2022;3,8;0;10,6
Bergen - Florida;SN50540;11.01.2022;5,7;6,2;11,3
Bergen - Florida;SN50540;12.01.2022;8;12,9;8,7
Bergen - Florida;SN50540;13.01.2022;8,4;31,8;8,5
Bergen - Florida;SN50540;14.01.2022;4;6,5;12,9
Bergen - Florida;SN50540;15.01.2022;3,4;0,1;8,4
Bergen - Florida;SN50540;16.01.2022;4,6;12,7;11,8
Bergen - Florida;SN50540;17.01.2022;2,7;16,9;13,5
Bergen - Florida;SN50540;18.01.2022;5,5;2,8;8,6
Bergen - Florida;SN50540;19.01.2022;3,4;17,2;15,6
Bergen - Florida;SN50540;20.01.2022;0,1;19,7;14,9
Bergen - Florida;SN50540;21.01.2022;3;3,7;5,9
Bergen - Florida;SN50540;22.01.2022;6,1;7,1;4,3
Bergen - Florida;SN50540;23.01.2022;7,1;11,5;7,7
Bergen - Florida;SN50540;24.01.2022;5,9;13,7;7,7
Bergen - Florida;SN50540;25.01.2022;5,1;12,6;6,5
Bergen - Florida;SN50540;26.01.2022;5,3;24,6;8,4
Bergen - Florida;SN50540;27.01.2022;5,2;29,1;12,8
